name,rating,priceLevel,numberOfReviews,address,rest_lat,rest_long,nearest_station_id,nearest_station_name,distance_to_station_km,distance_band
Scopri,5,$$ - $$$,1049,"191 Nicholson St Carlton, Melbourne, Victoria 3053 Australia",-37.795694981607,144.974998014502,19843,Parliament,1.718,>1000 m
Railway Hotel,4.5,$$ - $$$,267,"280 Ferrars St, Melbourne, Victoria 3205 Australia",-37.835454665048,144.955651743783,22180,Southern Cross,1.983,>1000 m
Afternoon Tea at The Hotel Windsor,4.5,$$$$,1508,"111 Spring Street The Hotel Windsor, Melbourne, Victoria 3000 Australia",-37.811973224306,144.973031871474,19843,Parliament,0.103,<=250 m
Piccolo Mondo,4.5,$$ - $$$,735,"240 Lygon St Carlton, Melbourne, Victoria 3053 Australia",-37.801560008806,144.967058005262,19842,Melbourne Central,1.011,>1000 m
1932 Cafe & Restaurant,4.5,$$ - $$$,443,"220 Collins St Manchester Unity Building, Melbourne, Victoria 3000 Australia",-37.815376612272,144.966174217391,19854,Flinders Street,0.333,250–500 m
+39 Pizzeria,4.5,$$ - $$$,1232,"362 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.813401835884,144.961808335484,19842,Melbourne Central,0.391,250–500 m
Red Spice Road,4.5,$$ - $$$,1737,"141 Queen St, Melbourne, Victoria 3000 Australia",-37.815479122948,144.96062615186,19841,Flagstaff,0.585,500–1000 m
Straits Cafe Melbourne,4.5,$$ - $$$,262,"Rendezvous Hotel Melbourne 328 Flinders St, Melbourne, Victoria 3000 Australia",-37.818344979462,144.963646989764,19854,Flinders Street,0.291,250–500 m
Om Nom,4,$$$$,545,"187 Flinders Lane Adelphi Hotel, Melbourne, Victoria 3000 Australia",-37.81622687253,144.968293833066,19854,Flinders Street,0.259,250–500 m
MoVida Aqui,4.5,$$ - $$$,752,"Nab Building, 1 500 Bourke St NAB Building, Melbourne, Victoria 3000 Australia",-37.815262744117,144.958935354352,19841,Flagstaff,0.465,250–500 m
Cicciolina,4.5,$$ - $$$,375,"130 Acland St, Melbourne, Victoria 3182 Australia",-37.868483344963,144.980008548582,19956,Balaclava,1.191,>1000 m
Movida Bar de Tapas,4.5,$$ - $$$,2760,"1 Hosier Lane, Melbourne, Victoria 3000 Australia",-37.816755561073,144.969114086111,19854,Flinders Street,0.256,250–500 m
